# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1602665352
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.6509,0.956413,1.04401,2,7,0,31.7264,0.0997835
-28.6398,1,1.35054,1,1,0,29.4021,0.258984
-28.0836,1,1.86761,1,3,0,28.3362,0.527685
-28.0836,0.646862,2.57749,1,1,0,28.1559,0.527685
-28.0836,0.00941646,2.04756,1,1,0,30.7293,0.527685
-28.0822,1,0.604961,2,3,0,28.0836,0.525464
-28.1603,0.957547,0.83523,3,7,0,28.8284,0.403945
-28.8738,0.577756,1.07786,2,3,0,33.0662,0.214048
-28.8685,0.994636,0.773831,3,7,0,29.2431,0.215
-28.427,1,1.05572,2,3,0,28.7917,0.30895
-28.0748,0.997454,1.44949,1,3,0,28.3517,0.505712
-28.0742,1,1.9787,1,1,0,28.0746,0.500609
